Year,Month,Kendalanda,Lassakanda,TRI,Sri_Lanka_Dollar Rate(LKR)
2014,July,75.0,68.0,69.0,130.22
2014,August,75.0,66.0,66.0,130.15
2014,September,70.0,66.0,62.0,130.28
2014,October,68.77,64.0,61.0,130.71
2014,November,67.5,64.0,61.0,131.02
2014,December,66.27,63.0,61.0,131.25
2015,January,65.0,60.0,56.15,131.91
2015,February,62.0,57.0,51.06,132.74
2015,March,73.0,57.0,60.21,133.05
2015,April,73.0,60.0,59.0,133.25
2015,May,61.0,64.0,59.0,133.51
2015,June,62.1,64.0,60.62,133.82
2015,July,80.0,62.03,75.0,133.95
2015,August,59.0,60.0,56.0,134.21
2015,September,55.0,52.0,54.0,139.75
2015,October,59.0,55.0,57.0,141.25
2015,November,64.0,61.64,61.86,142.1
2015,December,62.0,60.83,61.08,143.55
2016,January,62.76,60.0,58.04,143.95
2016,February,63.52,58.0,55.0,144.2
2016,March,64.24,59.0,59.0,144.65
2016,April,65.0,63.0,62.05,145.1
2016,May,66.48,67.0,65.0,145.45
2016,June,68.0,66.0,64.0,145.3
2016,July,71.0,69.93,67.0,145.55
2016,August,75.0,74.0,71.0,145.75
2016,September,79.0,79.0,77.1,146.15
2016,October,83.92,86.0,83.0,147.1
2016,November,89.0,88.0,89.0,148.25
2016,December,88.0,88.0,87.0,149.3
2017,January,88.0,88.0,87.0,150.15
2017,February,89.0,89.0,90.1,151.05
2017,March,93.0,92.0,92.9,151.9
2017,April,99.0,97.0,96.0,152.45
2017,May,99.0,95.03,99.0,152.75
2017,June,96.0,93.0,95.0,153.15
2017,July,88.0,91.52,93.52,153.6
2017,August,95.0,90.0,92.0,153.25
2017,September,98.0,99.0,93.0,153.4
2017,October,99.0,99.0,97.0,153.85
2017,November,94.0,93.41,91.0,153.7
2017,December,92.0,88.0,90.0,153.1
2018,January,93.0,89.0,91.0,154.05
2018,February,94.0,90.0,92.05,155.15
2018,March,95.0,91.0,93.0,155.75
2018,April,96.02,92.0,94.0,156.4
2018,May,97.0,93.0,95.0,158.15
2018,June,98.0,94.02,96.0,159.2
2018,July,99.0,95.0,96.98,160.05
2018,August,100.0,96.0,98.0,161.45
2018,September,102.0,98.0,100.0,167.55
2018,October,104.0,99.97,102.0,171.25
2018,November,106.0,102.0,104.03,176.4
2018,December,108.0,104.0,106.0,181.3
2019,January,108.0,105.0,107.0,182.15
2019,February,108.0,103.95,106.0,179.45
2019,March,107.0,103.0,104.58,178.2
2019,April,105.0,101.0,103.0,174.9
2019,May,106.0,101.98,104.0,176.25
2019,June,107.0,103.0,105.0,176.85
2019,July,106.0,102.0,105.49,176.1
2019,August,108.0,104.0,106.0,178.25
2019,September,110.0,105.52,108.0,181.15
2019,October,111.0,107.0,108.0,181.55
2019,November,110.0,106.0,108.0,180.2
2019,December,111.0,106.98,109.0,181.45
2020,January,112.0,108.0,110.0,181.65
2020,February,113.0,109.03,111.0,181.85
2020,March,114.45,110.0,112.45,185.25
2020,April,116.0,112.0,114.0,192.15
2020,May,115.0,111.0,113.02,187.9
2020,June,114.0,110.49,112.0,185.8
